>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
"Start Time","Station","Part","Operator","Elapsed","Product","Head Stack S/N","Disk Pack S/N","Device ID","Disk ID","Product"
"6/21/2017 3:24:47 PM","HAMR-DET5","WM68-F18-G2","1000134533","00:00:56","Astra_PA5275_A","2","E010R9J002","77508","E010R9J003","Astra_PA5275_A"

"ZName","Zone Setup","Track #","Head #","Head S/N","Iteration ID","Conf","TS_TFCSetup_AEPowerRF0","TS_TFCSetup_AEPowerRF1","TS_TFCSetup_AEPowerRF2","TS_TFCSetup_AEPowerRF3","TS_TFCSetup_AE_Sensor_DEV","TS_TFCSetup_AE_Sensor_DEV_RTDPower","TS_TFCSetup_AE_Sensor_DEV_Th","TS_TFCSetup_AE_Sensor_NMC","TS_TFCSetup_AE_Sensor_NMC_RTDPower","TS_TFCSetup_AE_Sensor_NMC_Th","TS_TFCSetup_AE_Sensor_RMS","TS_TFCSetup_AE_Sensor_RMS_RTDPower","TS_TFCSetup_AE_Sensor_RMS_Th","TS_TFCSetup_AE_Sensor_dDEV","TS_TFCSetup_AE_Sensor_dDEV_RTDPower","TS_TFCSetup_AE_Sensor_dDEV_Th","TS_TFCSetup_AE_Sensor_dNMC","TS_TFCSetup_AE_Sensor_dNMC_RTDPower","TS_TFCSetup_AE_Sensor_dNMC_Th","TS_TFCSetup_AE_Sensor_dRMS","TS_TFCSetup_AE_Sensor_dRMS_RTDPower","TS_TFCSetup_AE_Sensor_dRMS_Th","TS_TFCSetup_AE_Sensor_fdDEV","TS_TFCSetup_AE_Sensor_fdDEV_RTDPower","TS_TFCSetup_AE_Sensor_fdNMC","TS_TFCSetup_AE_Sensor_fdNMC_RTDPower","TS_TFCSetup_AE_Sensor_fdRMS","TS_TFCSetup_AE_Sensor_fdRMS_RTDPower","TS_TFCSetup_MaxPowerAtFreq","TS_TFCSetup_MaxPowerDelta","TS_TFCSetup_MechClearance (nm)","TS_TFCSetup_R_TDownPower (mW)","TS_TFCSetup_R_TDownPowerIter (mW)","TS_TFCSetup_R_TDownVoltage (V)","TS_TFCSetup_ReadTFCBO (mW)","TS_TFCSetup_ReadTFCBO_V (V)","TS_TFCSetup_TA_Sensor_A","TS_TFCSetup_TA_Sensor_A_RTDPower","TS_TFCSetup_TA_Sensor_A_Th","TS_TFCSetup_TA_Sensor_D","TS_TFCSetup_TA_Sensor_D_RTDPower","TS_TFCSetup_TA_Sensor_D_Th","TS_TFCSetup_TD_DetectedBy","TS_TFCSetup_TD_TFC_Power (mW)","TS_TFCSetup_TS_TFC_R (Ohm)","TS_TFCSetup_WriteTFCBO (mW)","TS_TFCSetup_WriteTFCBO_V (V)"
"Zone2","Astra_MD_PA5275",102120,1,"WM68R78E",0,20,,,,,6.33340843060665E-02,,,0.216904016018258,,,0.789900860655107,,,3.45017165416754E-04,,,-4.56272790043102E-03,,,-5.71776910971962E-04,,,7.77528038517378E-05,,-3.3736234139661E-03,,-1.98226215910127E-04,,,,,,,,,,0,,,0,,,,79.9363861083984,,,
"Zone2","Astra_MD_PA5275",102120,1,"WM68R78E",0,21,,,,,6.67564655634361E-02,,,0.267656799937622,,,0.796678503041625,,,6.82121569432293E-04,,,5.78458825600346E-03,,,1.21658592314826E-03,,,7.27744539138761E-05,,-3.71564543742237E-03,,1.69049375819869E-04,,,,,,,,,,0,,,0,,,,82.0610580444336,,,
"Zone2","Astra_MD_PA5275",102120,1,"WM68R78E",0,22,,,,,6.79359705139138E-02,,,0.257324428265892,,,0.794943076387945,,,1.12628056262817E-03,,,9.89262284893047E-03,,,1.23404823934799E-03,,,3.96928745195571E-04,,9.98983406363852E-04,,6.57612131823921E-04,,,,,,,,,,0,,,0,,,,84.0223007202148,,,
"Zone2","Astra_MD_PA5275",102120,1,"WM68R78E",0,23,,,,,0.065768308782619,,,0.246823782621306,,,0.796741764731142,,,-2.51922068861065E-04,,,-5.31119851103458E-03,,,1.61280234190745E-05,,,-1.84368207270196E-04,,6.70873495872447E-04,,2.87835677496204E-04,,,,,,,,,,0,,,0,,,,85.983528137207,,,
"Zone2","Astra_MD_PA5275",102120,1,"WM68R78E",0,24,,,,,6.71442171929649E-02,,,0.362024023173147,,,0.797463601854501,,,-2.01850696684105E-04,,,2.66922608537279E-02,,,6.42586280313302E-04,,,-3.12095973290503E-04,,1.38758304093562E-02,,-2.68710004504378E-05,,,,,,,,,,0,,,0,,,,87.9447708129883,,,
"Zone2","Astra_MD_PA5275",102120,1,"WM68R78E",0,25,,,,,6.69024651166133E-02,,,0.172983119699481,,,0.795335771272954,,,2.77577101272338E-04,,,-1.80720034403751E-02,,,-3.44107401099984E-04,,,-1.02661166492106E-04,,1.64790444280808E-03,,-3.11232649684005E-04,,,,,,,,,,0,,,0,,,,90.0694427490234,,,
"Zone2","Astra_MD_PA5275",102120,1,"WM68R78E",0,26,,,,,6.19207772171281E-02,,,0.347963638141378,,,0.797200900677417,,,-1.2784016486127E-03,,,-3.44118425556599E-03,,,-6.42943384877474E-05,,,-6.89716263397975E-04,,-7.67113760326871E-03,,-3.53675119387702E-04,,,,,,,,,,0,,,0,,,,92.0306854248047,,,
"Zone2","Astra_MD_PA5275",102120,1,"WM68R78E",0,27,,,,,6.46133997818275E-02,,,0.307658115673588,,,0.793381093814446,,,-5.83576376189235E-04,,,3.43341646564333E-02,,,-4.98327230123014E-04,,,-5.16978459608704E-04,,3.05581562721737E-03,,-6.56565917597073E-04,,,,,,,,,,0,,,0,,,,93.9919204711914,,,
"Zone2","Astra_MD_PA5275",102120,1,"WM68R78E",0,28,,,,,6.72594115715344E-02,,,0.197275906383859,,,0.796379656050388,,,1.36103359883287E-03,,,-3.84163912039833E-02,,,-2.09368436953347E-04,,,3.94391859123817E-04,,-1.11015179181244E-02,,-4.00723080623454E-04,,,,,,,,,,0,,,0,,,,95.9531707763672,,,
"Zone2","Astra_MD_PA5275",102120,1,"WM68R78E",0,29,,,,,6.41210667444311E-02,,,0.167661308018844,,,0.797995470029451,,,-1.20495185085998E-04,,,-3.42632729646075E-02,,,1.12933740750724E-03,,,4.43807843764631E-04,,-1.52017893011999E-02,,5.31761513467978E-04,,,,,,,,,,0,,,0,,,,98.0778350830078,,,
"Zone2","Astra_MD_PA5275",102120,1,"WM68R78E",0,30,,,,,7.09532683551891E-02,,,0.253150488881612,,,0.797456424790705,,,9.04048183070779E-04,,,1.36749521558207E-02,,,2.635323674645E-04,,,6.85247085482373E-04,,-1.63033400356705E-04,,4.97584150584659E-04,,,,,,,,,,0,,,0,,,,100.039077758789,,,
"Zone2","Astra_MD_PA5275",102120,1,"WM68R78E",0,31,,,,,6.23534575687454E-02,,,0.25962271879145,,,0.79769010239911,,,-4.50635873773363E-04,,,2.34447248107707E-02,,,-7.78506984540917E-05,,,2.30189833803274E-05,,1.08265704783538E-02,,1.33613856986262E-04,,,,,,,,,,0,,,0,,,,102.000312805176,,,
